t,CALENDARIO 2022,,,,,,,,,,,,,,,,,,
,Que comece a bagunça,,,,,,,,,,,,,,,,,,
,MÊS,Domingo,,Segunda-Feira,,Terça-Feira,,Quarta-Feira,,Quinta-Feira,,Sexta-Feira,,Sábado,,,,,
,,28,Semana 35,29,,30,,31,,1,DEUS TÁ NELSON,2,,3,OKTOBERLIM,,,,
,,,,,,,,,,,,,,,futsagem,,,,
,,,,,,,,,,,,,,,"""COLEGINHO DE DESPEDIDA""  🐶🐸🐷",,,,
,,,,,,,,,0,,,,ies! sextou,,,,,,
,Set 2022,4,Semana 36,5,,6,,7,,8,,9,,10,Rebola & Bafora 2.0,,,,
,, ,, ,, ,COROTAPA,,BANANIGHT TÁ TUDO ERRADO, ,,,,,TIQinho, ,,,
,,,,,,,,,,,,,,,,,,,  
,,,,,,,,,,,,,,,BOTECO DA PARA,,,,
,,11,Semana 37,12,,13,,14,,,,16,,17,Pé na Jaca ,,,,
,,,,,,,,,,,,,METRALHA DOS BAILES,,,,,,
,,,,,,,,,,,,,,,,,,,
,,18,,19,,20,🏀 Tusquinha 🏐 22 ,21,⚽ Tusquinha 🏆 22 ,22,Zero Grau 👌🏻: 15 anos de TZ,23,,24,,,,,
,,,,,,,,,,, REPRISE,,,,CULTO AO PORCO 🐷,,,,
,,,,,,,,,,,,,,,𝟐𝟐𝟎𝐯: 𝐒𝐄𝐌 𝐋𝐎𝐂𝐀𝐋,,, ,
,,,,,,,,,,,,,,,R,,,,
,,,,,,,,,,,JUBILA 🐝,,,,,,,,
,,25,,26,,27,,28,COROTADA DO FIM,29,"TA TUDO
ERRADO
na zumbilândia",30,Deu a loka na Chapeuzinho,1,FÉRIAS UFSCAR,,,,
,,,g7,,,,,,,,,,BOILER REP,,,,,,
,,,,,,,,,,,☠️ ENTERRO DO SEMESTRE FEDERAL ☠️,,QUASE FÉRIAS - Q10,,Corotada do Rugby,,,,
,Out 2022,2,,3,,4,,5,,6, Corotada 019 - CAASO,7,AION - A despedida,8,CHEESEINCANA 🐍🍎, ,,,
,,,,,,,,,,,,,,,29 PRA QUEM GUENTA,,,,
,,Eleições 1º Turno ,,,, ,, ,,,,,,,CARLOTADA NO FIM DO MUNDO, ,,,
,,9,Semana 41,10,,11,"Tardezinha
na Várzea ",12,Nossa Senhora de Aparecida,13,,14, FODEU 2.0,15,,,,,
,,,,,,,,,,,,,,,CAPOCALIPSE,,,,
,,,,,,,,,,,🎃🎃Doses ou Travessuras🦆🎃,,,,CAIPIRUSP de,,,,
,, ,,,,,,,,,,,,,OBSCURA VI, ,,,
,,16,CAIPIRUSP,17,,18,,19,,20,Role tio,21,,22,,,,,
,,,,,,,,,,,,VOODOOWEEN,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,23,Semana 43,24,,25,,26,,27,QUIMIALUCINA,28,,29,,,,,
,, ,,,, ,, ,, ,,,,,, ,,,
,,30,"Eleições
2º Turno",31,,1,,2,"Finados
(Dia dos Mortos)",3,,4,Aniversário de São Carlos,5,,,,,
,,,,,,,,,KILL -ME,,,,,,,,,,
,Nov 2022,6,Semana 45,7," QUASE
TUSCA - Q107g",8,TASCA                         (Taça Alcoólica de São Carlos),9, CheerBeer,10,SARRADA DAS BIXETES: EDIÇÃO  13 ANOS 🍒,11, VARZUÊRA,12,TUSCA,,,,
,,,,,,,,,Irmãos de Onze,,PRÉ TUSCA DA AEQ,,ESQUENTA OFICIAL METRALHA (a festa noturna da sexta),,,,,,
,,13,TUSCA,14,TUSCA,15,Proclamação da República,16,,17,,18,,19,,,,,
,,,,,,,TUSCA, ,, ,, ,,,, ,,,
,,20,Semana 47,21,ABERTURA COPA DO MUNDO,22,,23,,24,COPA NA REP ⚽ - MALIBU,25,RotaShore,26,"SABADONA!!! 
TPD",,,,
,,,,,,,,,,,ESTREIA DO BRASIL BOATE + PARATUDO,,,,,,,,
,, ,,,, ,, ,,,T.Ô NA COPA, ,,,Matizado, ,,,
,,27,Semana 48,28,COPA NA REP ⚽ - BOI SOBERANO,29,,30,,1,KAMIKAZE,2,IMMORAL,3,"Rolê Calíope
(Comissão 22 CAASO)",,,,
,,,,,,,,,,,,,,,,,,,
,,,,,g.g,,,,,,,,Churras na Copa,,,,,,
,, ,,,g, ,, ,, ,,,COPA NA REP ⚽  - CANTA GRILLO,,Bora Lá, ,,,
,Dez 2022,4,Semana 49,5,Tardezinha na Várzea ,6,,7,,8,"BALADA ZERO
NATAL",9, Arapucaribe,10,,,,,
,, ,, ,, ,, ,, ,,,COPACABAÑAS,,Role REP TIO 🦎⚽️, ,,,
,,11,Semana 50,12,,13,,14,,15,polterdona ,16,REVEILLONZE,17,,,,,
,,18,"BRASIL HEXA
(FINAL COPA DO MUNDO)",19,,20,,21, FERIAS CAASO ,22,,23,,24,,,,,
,,25,Natal,26,,27,,28,,29,,30,,31,,,,,
,, ,, g.g.g.g..gg.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.7g.7g.7gg.7g.7g7g.g.g.g.g.g.g.7gg...g.g.gggg..gg.7g.7gg7hg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,,,,
,Calendários com Feriados (Brasil) de WinCalendar:,,,,,,,,,,,,,,,,,,
,,,,,7gg7.g,,,,,,,,,,,,,,
,,,,,g,,,,,,,,,,,,,,
,,,,,g.g7ģg.g.gg.g.g.g.,,,,,,,,,,,,,,
,,,,,g.g.7g7h.g.g,,,,,,,,,,,,,,
,,,,,g.gg.g.g.g.g.,,,,,,,,,,,,,,
,,,,,g.g.g.ghg.g.g.g.ggg.7g.g.gg.g.g.g.gg.g.g.g.g.g..gg.g77g.7gg.g7g.g.g..t.gg,,,,,,,,,,,,,,
,,,,,g.gg.,,,,,,,,,,,,,,
,,,,,gggg.g.gg.7g.g.7gg77ggg.g.7g.g.7g77g.77777g.7hhg.g.g.7ggg.7g.g.77g,,,,,,,,,,,,,,
,,,,,g.77g.g.g.7g7g.7g7g.77g.ggģg.gggg.7g.7g777ģg.7g.77g.g.g.g.7g.gg.g.g7g.gg.ggg.g.g.7.gg.g..ggg.g.77gg,,,,,,,,,,,,,,
,,,,,g.g.g.7g,,,,,,,,,,,,,,
,,,,,g7g7g77g,,,,,,,,,,,,,,
,,,,,g.g.g.g.g.g.7ggg.g.7g.g.g.g.g.777t.g.7.gg.ggg7,,,,,,,,,,,,,,
,,,,,g.g.g.g.g.77777g.g.g.g.7g77g77g.g.g7gg.7g7,,,,,,,,,,,,,,
,,,,,7⁷77g77g77g7gg.g.7g,,,,,,,,,,,,,,
,,,,,g.g.g.777ggggg.7g.g.g..g.g.7g.g.7.7g,,,,,,,,,,,,,,
,,,,,7g,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
